id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
67,C,GIORGI,CESENA,"6,7","6,9",0
57,D,LUCCHINI,CESENA,"6,6","6,8",0
271,D,ABATE,MILAN,"6,6","7,6",-1
302,D,GHOULAM,NAPOLI,"6,6","6,1",0
335,D,TERZI,PALERMO,"6,6","5,1",1
246,D,CAVANDA,LAZIO,"6,6","4,5",2
708,D,CAPUANO,CAGLIARI,"6,6","5,8",1
395,C,STROOTMAN,ROMA,"6,6","16,3",-10
413,D,REGINI,SAMPDORIA,"6,6","6,1",0
436,D,CANNAVARO,SASSUOLO,"6,6","7,3",-1
707,A,BIANCHI,ATALANTA,"6,5","11,9",-5
83,D,FREY,CHIEVO,"6,5","5,4",1
84,D,GAMBERINI,CHIEVO,"6,5","5,2",1
21,C,D'ALESSANDRO,ATALANTA,"6,5","5,6",1
22,C,MIGLIACCIO,ATALANTA,"6,4","4,5",2
41,C,CRISETIG,CAGLIARI,"6,4","4,4",2
123,A,MCHEDLIDZE,EMPOLI,"6,4","6,8",0
202,C,KUZMANOVIC,INTER,"6,4","4,7",2
900,D,SPOLLI,ROMA,"6,4","7,1",-1
339,C,BOLZONI,PALERMO,"6,4","5,3",1
388,D,TOROSIDIS,ROMA,"6,3","6,1",0
901,C,BERGDICH,GENOA,"6,3","5,1",1
174,C,GRECO,VERONA,"6,3","7,8",-1
222,D,OGBONNA,JUVENTUS,"6,3","5,9",1
327,D,ANDELKOVIC,PALERMO,"6,3","5,7",1
166,D,MARCHESE,GENOA,"6,3","8,7",-2
5,D,BENALOUANE,ATALANTA,"6,2","6,7",0
63,C,CASCIONE,CESENA,"6,2","7,8",-1
181,C,STURARO,JUVENTUS,"6,2","7,6",-1
193,D,NAGATOMO,INTER,"6,2","13,3",-7
206,C,SCHELOTTO,CHIEVO,"6,1","5,6",1
241,P,BERISHA,LAZIO,"6,1","2,5",4
286,C,MUNTARI,MILAN,"6,1","8,5",-2
66,C,DE FEUDIS,CESENA,"6,1","4,1",2
118,C,SIGNORELLI,EMPOLI,"6,1","3,7",3
705,D,MARQUEZ,VERONA,"6,1","8,2",-2
817,D,YANGA MBIWA,ROMA,"6,1","6,3",0
465,D,MOLINARO,TORINO,"6,1","9,6",-3
514,P,RAFAEL,VERONA,6,"10,2",-4
96,C,LAZAREVIC,SASSUOLO,6,"5,6",1
288,C,SAPONARA,EMPOLI,6,"6,8",0
191,D,JUAN JESUS,INTER,6,"8,6",-2
262,C,ONAZI,LAZIO,"5,8","6,1",-1
168,D,ROSI,FIORENTINA,"5,8","6,9",-1
7,D,BRIVIO,VERONA,"5,8","5,4",0
11,D,DRAME',ATALANTA,"5,7","5,8",0
274,D,BONERA,MILAN,"5,7","5,5",0
529,C,JANKOVIC,VERONA,"5,7","8,3",-3
745,D,RISPOLI,PALERMO,"5,7","4,3",1
736,C,CATALDI,LAZIO,"5,7","3,8",2
811,A,CODA M.,PARMA,"5,7","4,2",1
902,C,VAJUSHI,CHIEVO,"5,7","6,2",-1
490,D,DOMIZZI,UDINESE,"5,7","7,2",-2
483,P,BENUSSI,VERONA,"5,6","1,7",4
438,D,LONGHI,SASSUOLO,"5,6","5,7",0
354,D,CASSANI,PARMA,"5,6","8,4",-3
366,C,GALLOPPA,PARMA,"5,6","5,4",0
891,C,JAJALO,PALERMO,"5,6","4,1",1
328,D,DAPRELA',PALERMO,"5,5","4,3",1
188,D,D'AMBROSIO,INTER,"5,5",5,0
69,C,ZE' EDUARDO,CESENA,"5,5","3,6",2
56,D,KRAJNC,CESENA,"5,5","4,6",1
279,D,ZACCARDO,MILAN,"5,4",3,2
268,P,ABBIATI,MILAN,"5,4","12,2",-7
867,C,LILA,PARMA,"5,4","4,2",1
746,D,SANTACROCE,PARMA,"5,4","3,4",2
364,C,ACQUAH,SAMPDORIA,"5,4","6,7",-1
393,C,PAREDES,ROMA,"5,4","4,2",1
397,A,BORRIELLO,GENOA,"5,4","13,4",-8
440,D,PELUSO,SASSUOLO,"5,4","6,6",-1
497,D,PASQUALE,UDINESE,"5,4","3,5",2
520,D,MARQUES,VERONA,"5,3","4,1",1
908,C,MUDINGAYI,CESENA,"5,3","5,1",0
336,D,VITIELLO,PALERMO,"5,3","2,5",3
10,D,DEL GROSSO,ATALANTA,"5,2",4,1
441,D,TERRANOVA,SASSUOLO,"5,2",8,-3
437,D,GAZZOLA,SASSUOLO,"5,2","4,1",1
54,D,CAPELLI,CESENA,"5,1","5,5",0
60,D,PERICO,CESENA,5,"4,7",1
208,A,BOTTA,CHIEVO,5,"8,6",-3
360,D,MENDES,PARMA,5,"3,1",2
756,C,RIZZO,SAMPDORIA,5,"2,2",3
767,C,HALLBERG,UDINESE,"4,8","3,1",1
521,D,MARTIC,VERONA,"4,8","4,7",0
898,D,DIAKITE',CAGLIARI,"4,8","5,8",-1
896,D,TAMBE',GENOA,"4,8","4,1",0
842,A,GEIJO,UDINESE,"4,8","1,1",3
826,A,EL HAMDAOUI,FIORENTINA,"4,8","6,3",-2
362,D,PALETTA,MILAN,"4,8","10,8",-6
384,D,COLE,ROMA,"4,8","11,4",-7
429,P,PEGOLO,SASSUOLO,"4,8","7,3",-3
464,D,MASIELLO,TORINO,"4,8","4,7",0
186,D,ANDREOLLI,INTER,"4,8","4,5",0
247,D,CIANI,LAZIO,"4,8",4,0
62,D,VOLTA,CESENA,"4,8","4,2",0
171,C,COFIE,CHIEVO,"4,8","4,3",0
162,D,ANTONINI,GENOA,"4,8","6,9",-2
115,C,GUARENTE,EMPOLI,"4,8","6,9",-2
128,D,MARCOS ALONSO,FIORENTINA,"4,7","3,7",1
68,C,TABANELLI,CESENA,"4,7","4,7",0
250,D,NOVARETTI,LAZIO,"4,7","4,5",0
445,C,CHIBSAH,SASSUOLO,"4,7","4,1",0
530,C,OBBADI,VERONA,"4,7","6,1",-2
810,C,BADELJ,FIORENTINA,"4,7","6,3",-2
783,C,LUCAS EVANGELISTA,UDINESE,"4,6","4,6",0
821,D,RICHARDS,FIORENTINA,"4,6","6,4",-2
880,C,SUSO,MILAN,"4,6","6,2",-2
402,A,SANABRIA,ROMA,"4,6","6,5",-2
368,C,MARCHIONNI,SAMPDORIA,"4,6","7,7",-3
319,A,INSIGNE,NAPOLI,"4,6","15,1",-11
276,D,DE SCIGLIO,MILAN,"4,6","8,4",-4
280,D,ZAPATA C.,MILAN,"4,5","6,1",-2
334,D,PISANO E.,VERONA,"4,5","6,1",-2
306,D,MESTO,NAPOLI,"4,5","4,9",0
244,D,BRAAFHEID,LAZIO,"4,5",4,0
245,D,CANA,LAZIO,"4,5","7,7",-3
214,D,BARZAGLI,JUVENTUS,"4,5","14,5",-10
218,D,DE CEGLIE,JUVENTUS,"4,5","3,8",1
231,C,PEPE,JUVENTUS,"4,5","3,5",1
225,C,ASAMOAH,JUVENTUS,"4,5","9,8",-5
187,D,CAMPAGNARO,INTER,"4,5","6,2",-2
203,C,LAXALT,GENOA,"4,5","3,8",1
46,C,CAIO RANGEL,CAGLIARI,"4,5","3,3",1
104,P,BASSI,EMPOLI,"4,5","8,7",-4
146,C,LAZZARI,FIORENTINA,"4,5","5,9",-1
381,D,BALZARETTI,ROMA,"4,5","5,4",-1
406,P,ROMERO,SAMPDORIA,"4,5","5,7",-1
407,D,CACCIATORE,SAMPDORIA,"4,4","5,4",-1
375,A,POZZI,CHIEVO,"4,4",8,-4
431,P,POMINI,SASSUOLO,"4,4","2,7",2
910,D,NATALI,SASSUOLO,"4,4","4,1",0
823,A,JOAO SILVA,PALERMO,"4,4","8,3",-4
843,C,MARIGA,PARMA,"4,4","2,4",2
531,C,ROMULO,JUVENTUS,"4,4","10,3",-6
715,C,ESTIGARRIBIA,ATALANTA,"4,4","6,9",-2
154,A,BERNARDESCHI,FIORENTINA,"4,4","11,6",-7
52,P,AGLIARDI,CESENA,"4,4","2,2",2
73,A,MARILUNGO,CESENA,"4,4","13,1",-9
29,P,CRAGNO,CAGLIARI,"4,4","2,2",2
226,C,COMAN,JUVENTUS,"4,4","2,3",2
230,C,PADOIN,JUVENTUS,"4,4","4,4",0
249,D,KONKO,LAZIO,"4,4","5,5",-1
300,D,BRITOS,NAPOLI,"4,4","5,2",-1
258,C,GONZALEZ ALV.,TORINO,"4,3","7,8",-3
256,C,EDERSON,LAZIO,"4,3","5,2",-1
205,C,OBI,INTER,"4,3","2,2",2
79,D,BIRAGHI,CHIEVO,"4,3","5,1",-1
739,A,TOUNKARA,LAZIO,"4,3",4,0
523,D,RODRIGUEZ GU.,VERONA,"4,3","5,7",-1
819,A,DJORDJEVIC L.,SAMPDORIA,"4,3","5,3",-1
769,D,GENTILETTI,LAZIO,"4,3","5,2",-1
433,D,ANTEI,SASSUOLO,"4,3","3,3",1
365,C,BIABIANY,PARMA,"4,3","14,5",-10
367,C,JORQUERA,PARMA,"4,3",4,0
340,C,CHOCHEV,PALERMO,"4,3","4,8",0
396,C,UCAN,ROMA,"4,3","5,6",-1
355,D,CEPPITELLI,CAGLIARI,"4,2","5,2",-1
383,D,CASTAN,ROMA,"4,2","12,6",-8
468,C,BASHA,TORINO,"4,2","4,4",0
476,A,BARRETO P.,TORINO,"4,2","10,3",-6
780,C,CAMPANHARO,VERONA,"4,2","2,4",2
782,C,CARBONERO,CESENA,"4,2","7,3",-3
519,D,GONZALEZ ALE.,CAGLIARI,"4,2","5,1",-1
75,A,SUCCI,CESENA,"4,2","10,7",-6
64,C,CAZZOLA,CESENA,"4,2","5,9",-1
34,D,MURRU,CAGLIARI,"4,2","6,7",-2
9,D,CHERUBIN,ATALANTA,"4,2","4,3",0
229,C,MARRONE,JUVENTUS,"4,2","4,2",0
259,C,LEDESMA,LAZIO,"4,1","8,4",-4
307,D,ZUNIGA,NAPOLI,"4,1","12,1",-8
4,D,BELLINI,ATALANTA,"4,1","2,2",2
12,D,RAIMONDI,ATALANTA,"4,1","4,1",0
157,A,ROSSI,FIORENTINA,"4,1","32,4",-28
121,A,AGUIRRE,UDINESE,"4,1","10,1",-6
719,A,ROSSETI,ATALANTA,"4,1","8,9",-4
875,C,HUSBAUER,CAGLIARI,"4,1","6,2",-2
878,C,CHRISTIANSEN,CHIEVO,"4,1","4,2",0
494,D,GABRIEL SILVA,UDINESE,"4,1","11,7",-7
506,C,PINZI,UDINESE,"4,1","7,6",-3
508,C,ZAPATA A.,UDINESE,"4,1","4,2",0
361,D,MESBAH,SAMPDORIA,4,"4,2",0
357,D,FELIPE,INTER,4,"4,7",0
866,C,CORREA,SAMPDORIA,4,"5,3",-1
775,D,EMERSON,PALERMO,4,"4,3",0
109,D,LAURINI,EMPOLI,4,"3,1",1
35,D,PISANO F.,CAGLIARI,4,"5,3",-1
31,D,BALZANO,CAGLIARI,4,"3,9",1
76,P,BARDI,CHIEVO,4,"8,7",-4
86,D,SARDO,CHIEVO,4,"5,5",-1
277,D,MEXES,MILAN,4,"5,7",-1
251,C,PEREIRINHA,LAZIO,4,"4,5",0
462,D,JANSSON,TORINO,"3,8","4,7",-1
517,D,AGOSTINI,VERONA,"3,7","5,5",-2
460,D,GASTON SILVA,TORINO,"3,6","3,3",0
58,D,MAGNUSSON,CESENA,"3,6","2,2",1
331,D,MILANOVIC,PALERMO,"3,5","3,5",0
320,A,MICHU,NAPOLI,"3,5","16,2",-13
481,P,SCUFFET,UDINESE,"3,5","11,5",-8
881,A,VERDE,ROMA,"3,5","1,2",2
752,A,GHEZZAL,PARMA,"3,4","5,8",-2
487,D,BUBNJIC,UDINESE,"3,4",3,0
434,D,ARIAUDO,GENOA,"3,4","4,7",-1
190,D,JONATHAN,INTER,"3,4","10,8",-7
303,D,HENRIQUE,NAPOLI,"3,3","8,9",-5
147,C,OCTAVIO,FIORENTINA,"3,3","2,4",1
488,D,CODA,SAMPDORIA,"3,3","3,8",0
812,C,VAN GINKEL,MILAN,"3,3","8,1",-5
893,D,ORTIZ,PALERMO,"3,3","3,3",0
868,D,MASIELLO A,ATALANTA,"3,2","2,2",1
784,A,MAKIENOK,PALERMO,"3,2","13,3",-10
435,D,BIANCO,SASSUOLO,"3,2","3,5",0
341,C,DELLA ROCCA,PALERMO,"3,2","3,1",0
272,D,ALBERTAZZI,MILAN,"3,2","3,4",0
285,C,MONTOLIVO,MILAN,"3,1","10,4",-7
223,D,SORENSEN,VERONA,"3,1","2,4",1
422,C,WSZOLEK,SAMPDORIA,"3,1","4,2",-1
485,C,ARMERO,MILAN,"3,1","7,2",-4
283,C,ESSIEN,MILAN,3,"3,5",0
141,C,BRILLANTE,EMPOLI,3,"3,6",0
77,P,PUGGIONI,CHIEVO,3,2,1
291,C,MASTOUR,MILAN,"2,8","2,4",0
504,C,JADSON,UDINESE,"2,6","2,4",0
533,C,VALOTI,VERONA,"2,3","1,6",1
824,A,BONAZZOLI,INTER,"2,3","2,3",0
59,D,NICA,CESENA,"2,3","3,2",-1
13,D,SCALONI,ATALANTA,"2,1","2,1",0
269,P,AGAZZI,MILAN,2,"2,8",0
27,P,COLOMBI,CAGLIARI,"1,8","8,3",-7
848,C,MANDRAGORA,GENOA,"1,8","1,1",0
405,P,MASSOLO,SAMPDORIA,"1,8","1,8",0
717,C,GRASSI,ATALANTA,"1,7","1,8",0
28,P,CARBONI,CAGLIARI,"1,7","1,8",0
242,P,STRAKOSHA,LAZIO,"1,7",1,0
184,P,BERNI,INTER,"1,6","1,1",0
160,P,LAMANNA,GENOA,"1,6","1,2",0
753,C,DE VITIS,SAMPDORIA,"1,6","2,7",-1
862,A,FARES,VERONA,"1,6","1,4",0
838,A,HARASLIN,PARMA,"1,6","1,1",0
882,P,FRISON,SAMPDORIA,"1,6","1,1",0
353,P,IACOBUCCI,PARMA,"1,6","1,8",0
378,P,LOBONT,ROMA,"1,6","1,4",0
456,P,AVRAMOV,ATALANTA,"1,5","1,6",0
828,P,PUGLIESI,EMPOLI,"1,5","1,5",0
761,P,GOLLINI,VERONA,"1,5","1,9",0
772,A,MONCINI,CESENA,"1,5","1,2",0
742,P,ROSATI,FIORENTINA,"1,5","1,3",0
786,P,MERET,UDINESE,"1,4","1,3",0
834,C,BARELLA,CAGLIARI,"1,4","1,1",0
857,C,YABRE,CESENA,"1,4","1,1",0
855,C,MATTIELLO,CHIEVO,"1,4","1,1",0
356,D,FEDDAL,PARMA,"1,4",2,-1
2,P,FREZZOLINI,ATALANTA,"1,4","1,5",0
185,P,CARRIZO,INTER,"1,3","1,1",0
298,P,COLOMBO,NAPOLI,"1,3","1,6",0
326,P,UJKANI,PALERMO,"1,3","1,7",0
825,D,SOMMA,EMPOLI,"1,3","1,3",0
856,D,DONKOR,INTER,"1,2","1,1",0
379,P,SKORUPSKI,ROMA,"1,2","1,8",0
213,P,STORARI,JUVENTUS,"1,2","1,9",0
53,P,BRESSAN,CESENA,"1,2","1,9",0
126,P,LUPATELLI,FIORENTINA,"1,2","1,1",0
105,P,BIGGERI,EMPOLI,"1,2","1,1",0
212,P,RUBINHO,JUVENTUS,"1,1","1,9",0
873,P,BAJZA,PARMA,"1,1","1,1",0
829,D,BARRY,SAMPDORIA,"1,1","1,1",0
831,D,BLANCO JA,SAMPDORIA,"1,1","1,1",0
832,D,BLANCO C,JUVENTUS,"1,1","1,1",0
833,C,CALABRIA,MILAN,"1,1","1,1",0
835,C,PETRICCIONE,FIORENTINA,"1,1","1,1",0
836,C,MASTALLI,MILAN,"1,1","1,1",0
837,A,PUSCAS,INTER,"1,1","1,1",0
840,A,LUNETTA,ATALANTA,"1,1","1,1",0
841,A,SOLINAS,CAGLIARI,"1,1","1,1",0
890,P,ICHAZO,TORINO,"1,1","1,1",0
771,A,BENTIVEGNA,PALERMO,"1,1","1,1",0
722,P,SECULIN,CHIEVO,"1,1","1,2",0
814,P,CASTELLAZZI,TORINO,1,"1,3",0
827,P,SOMMARIVA,GENOA,1,"1,1",0
853,A,VALZANIA,CESENA,1,"1,1",0
430,P,POLITO,SASSUOLO,1,"1,8",0
325,P,FULIGNATI,PALERMO,1,"1,7",0
297,P,ANDUJAR,NAPOLI,1,"1,3",0
